Row,Col,Latitude,Longitude,Concentration
A,3,33.96591291,-117.3483399,4642.0
A,10,33.9658977,-117.3482395,2737.5
A,20,33.96593483,-117.3481863,1759.0
A,50,33.96589274,-117.3478469,594.0
A,100,33.9659063,-117.3472891,188.5
A,150,33.9659168,-117.3467672,110.0
A,200,33.96589635,-117.3462197,86.0
B,3,33.96350581,-117.3483424,4058.0
B,10,33.96350838,-117.348276,1433.3333333333333
B,20,33.96353838,-117.3481848,1568.0
B,50,33.96351692,-117.347873,608.0
B,100,33.96351948,-117.3473293,163.0
B,150,33.96350583,-117.3467743,123.5
B,200,33.96349416,-117.3462439,79.0
C,3,33.96297121,-117.3483293,3690.5
C,10,33.96299253,-117.3483265,2562.5
C,20,33.96294393,-117.3481698,1151.5
C,50,33.96291167,-117.3478106,470.0
C,100,33.96290102,-117.3473024,307.0
C,150,33.96294119,-117.346758,117.0
C,200,33.96291663,-117.3462651,92.5
